H200	Instabil, explosiv.
H360	Kann die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen <konkrete Wirkung angeben, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass die Gefahr bei keinem anderen Expositionsweg besteht>.
H360.0	Kann die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen <konkrete Wirkung angeben, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass die Gefahr bei keinem anderen Expositionsweg besteht>.
H360-0	Kann die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen.
H360-1	Kann die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen{1}.
H360F	Kann die Fruchtbarkeit beeinträchtigen.
H360D	Kann das Kind im Mutterleib schädigen.
H360FD	Kann die Fruchtbarkeit beeinträchtigen. Kann das Kind im Mutterleib schädigen.
H360Fd	Kann die Fruchtbarkeit beeinträchtigen. Kann vermutlich das Kind im Mutterleib schädigen.
H360Df	Kann das Kind im Mutterleib schädigen. Kann vermutlich die Fruchtbarkeit beeinträchtigen.
H361	Kann vermutlich die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen <konkrete Wirkung angeben, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass die Gefahr bei keinem anderen Expositionsweg besteht>
H361.0	Kann vermutlich die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen <konkrete Wirkung angeben, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass die Gefahr bei keinem anderen Expositionsweg besteht>
H361-0	Kann vermutlich die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen
H361-1	Kann vermutlich die Fruchtbarkeit beeinträchtigen oder das Kind im Mutterleib schädigen{1}
H361f	Kann vermutlich die Fruchtbarkeit beeinträchtigen.
H361d	Kann vermutlich das Kind im Mutterleib schädigen.
H361fd	Kann vermutlich die Fruchtbarkeit beeinträchtigen. Kann vermutlich das Kind im Mutterleib schädigen.
H362	Kann Säuglinge über die Muttermilch schädigen.
H370	Schädigt die Organe <oder alle betroffenen Organe nennen, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H370.0	Schädigt die Organe <oder alle betroffenen Organe nennen, sofern bekannt> <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H370.1	Schädigt die Organe.
H370.1-1	Schädigt die Organe{1}.
H370-1	Schädigt {1}.
H370-2	Schädigt {1}{2}.
H371	Kann die Organe schädigen <oder alle betroffenen Organe nennen, sofern bekann> <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H371.0	Kann die Organe schädigen <oder alle betroffenen Organe nennen, sofern bekann> <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H371.1	Kann die Organe schädigen.
H371.1-1	Kann die Organe schädigen{1}.
H371-1	Kann {1} schädigen.
H371-2	Kann {1} schädigen{2}.
H372	Schädigt die Organe <alle betroffenen Organe nennen> bei längerer oder wiederholter Exposition <Expositionsweg angeben, wenn schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H372.0	Schädigt die Organe <alle betroffenen Organe nennen> bei längerer oder wiederholter Exposition <Expositionsweg angeben, wenn schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H372.1	Schädigt die Organe bei längerer oder wiederholter Exposition.
H372.1-1	Schädigt die Organe{1}.
H372-1	Schädigt {1} bei längerer oder wiederholter Exposition.
H372-2	Schädigt {1}{2}.
H373	Kann die Organe schädigen <alle betroffenen Organe nennen, sofern bekannt> bei längerer oder wiederholter Exposition <Expositionsweg angeben, wenn schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H373.0	Kann die Organe schädigen <alle betroffenen Organe nennen, sofern bekannt> bei längerer oder wiederholter Exposition <Expositionsweg angeben, wenn schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H373.1	Kann die Organe schädigen bei längerer oder wiederholter Exposition.
H373.1-1	Kann die Organe schädigen{1}.
H373-1	Kann {1} schädigen bei längerer oder wiederholter Exposition.
H373-2	Kann {1} schädigen{2}.
H300+H310	Lebensgefahr bei Verschlucken oder Hautkontakt
H300+H310+H330	Lebensgefahr bei Verschlucken, Hautkontakt oder Einatmen
H300+H330	Lebensgefahr bei Verschlucken oder Einatmen
H301+H311	Giftig bei Verschlucken oder Hautkontakt
H301+H311+H331	Giftig bei Verschlucken, Hautkontakt oder Einatmen
H301+H331	Giftig bei Verschlucken oder Einatmen
H302+H312	Gesundheitsschädlich bei Verschlucken oder Hautkontakt
H302+H312+H332	Gesundheitsschädlich bei Verschlucken, Hautkontakt oder Einatmen
H302+H332	Gesundheitsschädlich bei Verschlucken oder Einatmen
H310+H330	Lebensgefahr bei Hautkontakt oder Einatmen
H311+H331	Giftig bei Hautkontakt oder Einatmen
H312+H332	Gesundheitsschädlich bei Hautkontakt oder Einatmen
H400	Sehr giftig für Wasserorganismen.
H410	Sehr giftig für Wasserorganismen mit langfristiger Wirkung.
H411	Giftig für Wasserorganismen, mit langfristiger Wirkung.
H412	Schädlich für Wasserorganismen, mit langfristiger Wirkung.
H413	Kann für Wasserorganismen schädlich sein, mit langfristiger Wirkung.
H420	Schädigt die öffentliche Gesundheit und die Umwelt durch Ozonabbau in der äußeren Atmosphäre
EUH014	Reagiert heftig mit Wasser.
EUH018	Kann bei Verwendung explosionsfähige/entzündbare Dampf/Luft-Gemische bilden.
EUH018.0	Kann bei Verwendung explosionsfähige/entzündbare Dampf/Luft-Gemische bilden.
EUH018.1	Kann bei Verwendung entzündbare Dampf/Luft-Gemische bilden.
EUH018.2	Kann bei Verwendung explosionsfähige Dampf/Luft-Gemische bilden.
EUH019	Kann explosionsfähige Peroxide bilden.
EUH029	Entwickelt bei Berührung mit Wasser giftige Gase.
EUH031	Entwickelt bei Berührung mit Säure giftige Gase.
EUH032	Entwickelt bei Berührung mit Säure sehr giftige Gase.
EUH044	Explosionsgefahr bei Erhitzen unter Einschluss.
EUH066	Wiederholter Kontakt kann zu spröder oder rissiger Haut führen.
EUH070	Giftig bei Berührung mit den Augen.
EUH071	Wirkt ätzend auf die Atemwege.
EUH201	Enthält Blei. Nicht für den Anstrich von Gegenständen verwenden, die von Kindern gekaut oder gelutscht werden könnten.
EUH201A	Achtung! Enthält Blei.
EUH202	Cyanacrylat. Gefahr. Klebt innerhalb von Sekunden Haut und Augenlider zusammen. Darf nicht in die Hände von Kindern gelangen.
EUH203	Enthält Chrom (VI). Kann allergische Reaktionen hervorrufen.
EUH204	Enthält Isocyanate. Kann allergische Reaktionen hervorrufen.
EUH205	Enthält epoxidhaltige Verbindungen. Kann allergische Reaktionen hervorrufen.
EUH206	Achtung! Nicht zusammen mit anderen Produkten verwenden, da gefährliche Gase (Chlor) freigesetzt werden können.
EUH207	Achtung! Enthält Cadmium. Bei der Verwendung entstehen gefährliche Dämpfe. Hinweise des Herstellers beachten. Sicherheitsanweisungen einhalten.
EUH208	Enthält <Name des sensibilisierenden Stoffes>. Kann allergische Reaktionen hervorrufen.
EUH208.0	Enthält <Name des sensibilisierenden Stoffes>. Kann allergische Reaktionen hervorrufen.
EUH208-1	Enthält {1}. Kann allergische Reaktionen hervorrufen.
EUH209	Kann bei Verwendung leicht entzündbar werden.
EUH209A	Kann bei Verwendung entzündbar werden.
EUH210	Sicherheitsdatenblatt auf Anfrage erhältlich.
EUH211	Achtung! Beim Sprühen können gefährliche lungengängige Tröpfchen entstehen. Aerosol oder Nebel nicht einatmen.
EUH212	Achtung! Bei der Verwendung kann gefährlicher lungengängiger Staub entstehen. Staub nicht einatmen.
EUH380	Kann beim Menschen endokrine Störungen verursachen
EUH381	Steht in dem Verdacht, beim Menschen endokrine Störungen zu verursachen
EUH401	Zur Vermeidung von Risiken für Mensch und Umwelt die Gebrauchsanleitung einhalten.
EUH430	Kann endokrine Störungen in der Umwelt verursachen
EUH431	Steht in dem Verdacht, endokrine Störungen in der Umwelt zu verursachen
EUH440	Anreicherung in der Umwelt und in lebenden Organismen einschließlich Menschen
EUH441	Starke Anreicherung in der Umwelt und in lebenden Organismen einschließlich Menschen
EUH450	Kann lang anhaltende und diffuse Verschmutzung von Wasserressourcen verursachen
EUH451	Kann sehr lang anhaltende und diffuse Verschmutzung von Wasserressourcen verursachen
P101	Ist ärztlicher Rat erforderlich, Verpackung oder Kennzeichnungsetikett bereithalten.
P102	Darf nicht in die Hände von Kindern gelangen.
P103	Vor Gebrauch Kennzeichnungsetikett lesen.
P201	Vor Gebrauch besondere Anweisungen einholen.
P202	Vor Gebrauch alle Sicherheitshinweise lesen und verstehen.
P210	Von Hitze, heißen Oberflächen, Funken, offenen Flammen sowie anderen Zündquellenarten fernhalten. Nicht rauchen.
P211	Nicht gegen offene Flamme oder andere Zündquelle sprühen.
P212	Erhitzen unter Einschluss und Reduzierung des Desensibilisierungsmittels vermeiden.
P220	Von Kleidung und anderen brennbaren Materialien fernhalten.
P222	Keinen Kontakt mit Luft zulassen.
P223	Keinen Kontakt mit Wasser zulassen.
P230	Feucht halten mit …
P230.0	Feucht halten mit …
P230-1	Feucht halten mit {1}
P231	Inhalt unter inertem Gas/… handhaben und aufbewahren.
P231.0	Inhalt unter inertem Gas/… handhaben und aufbewahren.
P231.1	Inhalt unter inertem Gas handhaben und aufbewahren.
P231-1	Inhalt unter {1} handhaben und aufbewahren.
P232	Vor Feuchtigkeit schützen.
P233	Behälter dicht verschlossen halten.
P234	Nur in Originalverpackung aufbewahren.
P235	Kühl halten.
P240	Behälter und zu befüllende Anlage erden.
P241	Explosionsgeschützte [elektrische/Lüftungs-/Beleuchtungs-/…] Geräte verwenden.
P241.0	Explosionsgeschützte [elektrische/Lüftungs-/Beleuchtungs-/…] Geräte verwenden.
P241.1	Explosionsgeschützte elektrische Geräte verwenden.
P241.2	Explosionsgeschützte Lüftungs-Geräte verwenden.
P241.3	Explosionsgeschützte Beleuchtungs-Geräte verwenden.
P241-1	Explosionsgeschützte {1}Geräte verwenden.
P242	Funkenarmes Werkzeug verwenden.
P243	Maßnahmen gegen elektrostatische Entladungen treffen.
P244	Ventile und Ausrüstungsteile öl- und fettfrei halten.
P250	Nicht schleifen/stoßen/reiben/… .
P250.0	Nicht schleifen/stoßen/reiben/… .
P250.1	Nicht schleifen.
P250.2	Nicht stoßen.
P250.3	Nicht reiben.
P250-1	Nicht {1}.
P251	Nicht durchstechen oder verbrennen, auch nicht nach Gebrauch.
P260	Staub/Rauch/Gas/Nebel/Dampf/Aerosol nicht einatmen.
P260.0	Staub/Rauch/Gas/Nebel/Dampf/Aerosol nicht einatmen.
P260.1	Staub nicht einatmen.
P260.2	Rauch nicht einatmen.
P260.3	Gas nicht einatmen.
P260.4	Nebel nicht einatmen.
P260.5	Dampf nicht einatmen.
P260.6	Aerosol nicht einatmen.
P261	Einatmen von Staub/Rauch/Gas/Nebel/Dampf/Aerosol vermeiden.
P261.0	Einatmen von Staub/Rauch/Gas/Nebel/Dampf/Aerosol vermeiden.
P261.1	Einatmen von Staub vermeiden.
P261.2	Einatmen von Rauch vermeiden.
P261.3	Einatmen von Gas vermeiden.
P261.4	Einatmen von Nebel vermeiden.
P261.5	Einatmen von Dampf vermeiden.
P261.6	Einatmen von Aerosol vermeiden.
P262	Nicht in die Augen, auf die Haut oder auf die Kleidung gelangen lassen.
P263	Berührung während Schwangerschaft und Stillzeit vermeiden.
P264	Nach Gebrauch … gründlich waschen.
P264.0	Nach Gebrauch … gründlich waschen.
P264-1	Nach Gebrauch {1} gründlich waschen.
P270	Bei Gebrauch nicht essen, trinken oder rauchen.
P271	Nur im Freien oder in gut belüfteten Räumen verwenden.
P272	Kontaminierte Arbeitskleidung nicht außerhalb des Arbeitsplatzes tragen.
P273	Freisetzung in die Umwelt vermeiden.
P280	Schutzhandschuhe/Schutzkleidung/Augenschutz/Gesichtsschutz tragen.
P280.0	Schutzhandschuhe/Schutzkleidung/Augenschutz/Gesichtsschutz tragen.
P280.1	Schutzhandschuhe tragen.
P280.2	Schutzkleidung tragen.
P280.3	Augenschutz tragen.
P280.4	Gesichtsschutz tragen.
P282	Schutzhandschuhe mit Kälteisolierung und zusätzlich Gesichtsschild oder Augenschutz tragen.
P283	Schwer entflammbare oder flammhemmende Kleidung tragen.
P284	[Bei unzureichender Belüftung] Atemschutz tragen.
P231+P232	Inhalt unter inertem Gas/… handhaben und aufbewahren. Vor Feuchtigkeit schützen.
P231+P232.0	Inhalt unter inertem Gas/… handhaben und aufbewahren. Vor Feuchtigkeit schützen.
P231+P232.1	Inhalt unter inertem Gas handhaben und aufbewahren. Vor Feuchtigkeit schützen.
P231+P232-1	Inhalt unter {1} handhaben und aufbewahren. Vor Feuchtigkeit schützen.
P301	BEI VERSCHLUCKEN:
P302	BEI BERÜHRUNG MIT DER HAUT:
P303	BEI BERÜHRUNG MIT DER HAUT (oder dem Haar):
P304	BEI EINATMEN:
P305	BEI KONTAKT MIT DEN AUGEN:
P306	BEI KONTAKT MIT DER KLEIDUNG:
P308	BEI Exposition oder falls betroffen
P310	Sofort GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P310.0	Sofort GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P310.1	Sofort GIFTINFORMATIONSZENTRUM anrufen.
P310.2	Sofort Arzt anrufen.
P310-1	Sofort {1} anrufen.
P311	GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P311.0	GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P311.1	GIFTINFORMATIONSZENTRUM anrufen.
P311.2	Arzt anrufen.
P311-1	{1} anrufen.
P312	Bei Unwohlsein GIFTINFORMATIONSZENTRUM/Arzt/… anrufen.
P312.0	Bei Unwohlsein GIFTINFORMATIONSZENTRUM/Arzt/… anrufen.
P312.1	Bei Unwohlsein GIFTINFORMATIONSZENTRUM anrufen.
P312.2	Bei Unwohlsein Arzt anrufen.
P312-1	Bei Unwohlsein {1} anrufen.
P313	Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P314	Bei Unwohlsein ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P315	Sofort ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P320	Besondere Behandlung dringend erforderlich (siehe … auf diesem Kennzeichnungsetikett).
P320.0	Besondere Behandlung dringend erforderlich (siehe … auf diesem Kennzeichnungsetikett).
P320-1	Besondere Behandlung dringend erforderlich (siehe {1} auf diesem Kennzeichnungsetikett).
P320.nolabel-1	Besondere Behandlung dringend erforderlich (siehe {1}).
P321	Besondere Behandlung (siehe … auf diesem Kennzeichnungsetikett).
P321.0	Besondere Behandlung (siehe … auf diesem Kennzeichnungsetikett).
P321-1	Besondere Behandlung (siehe {1} auf diesem Kennzeichnungsetikett).
P321.nolabel-1	Besondere Behandlung (siehe {1}).
P330	Mund ausspülen.
P331	KEIN Erbrechen herbeiführen.
P332	Bei Hautreizung:
P333	Bei Hautreizung oder -ausschlag:
P334	In kaltes Wasser tauchen [oder nassen Verband anlegen].
P334.0	In kaltes Wasser tauchen [oder nassen Verband anlegen].
P334.1	In kaltes Wasser tauchen.
P334.2	In kaltes Wasser tauchen oder nassen Verband anlegen.
P335	Lose Partikel von der Haut abbürsten.
P336	Vereiste Bereiche mit lauwarmem Wasser auftauen. Betroffenen Bereich nicht reiben.
P337	Bei anhaltender Augenreizung:
P338	Eventuell Vorhandene Kontaktlinsen nach Möglichkeit entfernen. Weiter ausspülen.
P340	Die Person an die frische Luft bringen und für ungehinderte Atmung sorgen.
P342	Bei Symptomen der Atemwege:
P351	Einige Minuten lang behutsam mit Wasser ausspülen.
P352	Mit viel Wasser/…/waschen.
P352.0	Mit viel Wasser/…/waschen.
P352.1	Mit viel Wasser waschen.
P352-1	Mit {1} waschen.
P353	Haut mit Wasser abwaschen [oder duschen].
P353.0	Haut mit Wasser abwaschen [oder duschen].
P353.1	Haut mit Wasser abwaschen.
P353.2	Haut mit Wasser abwaschen oder duschen.
P360	Kontaminierte Kleidung und Haut sofort mit viel Wasser abwaschen und danach Kleidung ausziehen.
P361	Alle kontaminierten Kleidungsstücke sofort ausziehen.
P362	Kontaminierte Kleidung ausziehen.
P363	Kontaminierte Kleidung vor erneutem Tragen waschen.
P364	Und vor erneutem Tragen waschen.
P370	Bei Brand:
P371	Bei Großbrand und großen Mengen:
P372	Explosionsgefahr.
P373	KEINE Brandbekämpfung, wenn das Feuer explosive Stoffe/Gemische/Erzeugnisse erreicht.
P375	Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen.
P376	Undichtigkeit beseitigen, wenn gefahrlos möglich.
P377	Brand von ausströmendem Gas: Nicht löschen, bis Undichtigkeit gefahrlos beseitigt werden kann.
P378	… zum Löschen verwenden.
P378.0	… zum Löschen verwenden.
P378-1	{1} zum Löschen verwenden.
P380	Umgebung räumen.
P381	Bei Undichtigkeit alle Zündquellen entfernen.
P390	Verschüttete Mengen aufnehmen, um Materialschäden zu vermeiden.
P391	Verschüttete Mengen aufnehmen.
P301+P310	BEI VERSCHLUCKEN: Sofort GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P301+P310.0	BEI VERSCHLUCKEN: Sofort GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P301+P310.1	BEI VERSCHLUCKEN: Sofort GIFTINFORMATIONSZENTRUM anrufen.
P301+P310.2	BEI VERSCHLUCKEN: Sofort Arzt anrufen.
P301+P310-1	BEI VERSCHLUCKEN: Sofort {1} anrufen.
P301+P312	BEI VERSCHLUCKEN: Bei Unwohlsein GIFTINFORMATIONSZENTRUM/Arzt/… anrufen.
P301+P312.0	BEI VERSCHLUCKEN: Bei Unwohlsein GIFTINFORMATIONSZENTRUM/Arzt/… anrufen.
P301+P312.1	BEI VERSCHLUCKEN: Bei Unwohlsein GIFTINFORMATIONSZENTRUM anrufen.
P301+P312.2	BEI VERSCHLUCKEN: Bei Unwohlsein Arzt anrufen.
P301+P312-1	BEI VERSCHLUCKEN: Bei Unwohlsein {1} anrufen.
P301+P330+P331	BEI VERSCHLUCKEN: Mund ausspülen. KEIN Erbrechen herbeiführen.
P302+P334	BEI BERÜHRUNG MIT DER HAUT: In kaltes Wasser tauchen oder nassen Verband anlegen.
P302+P335+P334		BEI BERÜHRUNG MIT DER HAUT: Lose Partikel von der Haut abbürsten. In kaltes Wasser tauchen [oder nassen Verband anlegen].
P302+P335+P334.0	BEI BERÜHRUNG MIT DER HAUT: Lose Partikel von der Haut abbürsten. In kaltes Wasser tauchen [oder nassen Verband anlegen].
P302+P335+P334.1	BEI BERÜHRUNG MIT DER HAUT: Lose Partikel von der Haut abbürsten. In kaltes Wasser tauchen.
P302+P335+P334.2	BEI BERÜHRUNG MIT DER HAUT: Lose Partikel von der Haut abbürsten. In kaltes Wasser tauchen oder nassen Verband anlegen.
P302+P352	BEI BERÜHRUNG MIT DER HAUT: Mit viel Wasser/…/waschen.
P302+P352.0	BEI BERÜHRUNG MIT DER HAUT: Mit viel Wasser/…/waschen.
P302+P352.1	BEI BERÜHRUNG MIT DER HAUT: Mit viel Wasser waschen.
P302+P352-1	BEI BERÜHRUNG MIT DER HAUT: Mit {1} waschen.
P303+P361+P353	BEI BERÜHRUNG MIT DER HAUT (oder dem Haar): Alle kontaminierten Kleidungsstücke sofort ausziehen. Haut mit Wasser abwaschen [oder duschen].
P303+P361+P353.0	BEI BERÜHRUNG MIT DER HAUT (oder dem Haar): Alle kontaminierten Kleidungsstücke sofort ausziehen. Haut mit Wasser abwaschen [oder duschen].
P303+P361+P353.1	BEI BERÜHRUNG MIT DER HAUT (oder dem Haar): Alle kontaminierten Kleidungsstücke sofort ausziehen. Haut mit Wasser abwaschen.
P303+P361+P353.2	BEI BERÜHRUNG MIT DER HAUT (oder dem Haar): Alle kontaminierten Kleidungsstücke sofort ausziehen. Haut mit Wasser abwaschen oder duschen.
P304+P340	BEI EINATMEN: Die Person an die frische Luft bringen und für ungehinderte Atmung sorgen.
P305+P351+P338	BEI KONTAKT MIT DEN AUGEN: Einige Minuten lang behutsam mit Wasser spülen. Eventuell vorhandene Kontaktlinsen nach Möglichkeit entfernen. Weiter spülen.
P306+P360	BEI KONTAKT MIT DER KLEIDUNG: Kontaminierte Kleidung und Haut sofort mit viel Wasser abwaschen und danach Kleidung ausziehen.
P308+P311	BEI Exposition oder falls betroffen: GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P308+P311.0	BEI Exposition oder falls betroffen: GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P308+P311.1	BEI Exposition oder falls betroffen: GIFTINFORMATIONSZENTRUM anrufen.
P308+P311.2	BEI Exposition oder falls betroffen: Arzt anrufen.
P308+P311-1	BEI Exposition oder falls betroffen: {1} anrufen.
P308+P313	BEI Exposition oder falls betroffen: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P332+P313	Bei Hautreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P333+P313	Bei Hautreizung oder -ausschlag: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P336+P315	Vereiste Bereiche mit lauwarmem Wasser auftauen. Betroffenen Bereich nicht reiben. Sofort ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P337+P313	Bei anhaltender Augenreizung: Ärztlichen Rat einholen/ärztliche Hilfe hinzuziehen.
P342+P311	Bei Symptomen der Atemwege: GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P342+P311.0	Bei Symptomen der Atemwege: GIFTINFORMATIONSZENTRUM/Arzt/…/anrufen.
P342+P311.1	Bei Symptomen der Atemwege: GIFTINFORMATIONSZENTRUM anrufen.
P342+P311.2	Bei Symptomen der Atemwege: Arzt anrufen.
P342+P311-1	Bei Symptomen der Atemwege: {1} anrufen.
P361+P364	Alle kontaminierten Kleidungsstücke sofort ausziehen und vor erneutem Tragen waschen.
P362+P364	Kontaminierte Kleidung ausziehen und vor erneutem Tragen waschen.
P370+P372+P380+P373	Bei Brand: Explosionsgefahr. Umgebung räumen. KEINE Brandbekämpfung, wenn das Feuer explosive Stoffe/Gemische/Erzeugnisse erreicht.
P370+P376	Bei Brand: Undichtigkeit beseitigen, wenn gefahrlos möglich.
P370+P378	Bei Brand: … zum Löschen verwenden.
P370+P378.0	Bei Brand: … zum Löschen verwenden.
P370+P378-1	Bei Brand: {1} zum Löschen verwenden.
P370+P380+P375	Bei Brand: Umgebung räumen. Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen.
P370+P380+P375+P378	Bei Brand: Umgebung räumen. Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen. … zum Löschen verwenden.
P370+P380+P375+P378.0	Bei Brand: Umgebung räumen. Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen. … zum Löschen verwenden.
